项目名称,产品编号,测试时间,流量品质,温度||压力,电流||电压,阶段电流采样平均值(mA),阶段电压采样平均值(V),电流不合格次数,电压不合格次数,温度采样值,压力采样值,重量采样平均值,重量-1,重量-2,重量-3,重量-4,重量-5,重量-6,重量-7,重量-8,重量-9,重量-10,重量-11,重量-12,重量-13,重量-14,重量-15,重量-16,重量-17,重量-18,重量-19,重量-20,重量-21,重量-22,重量-23
12121212,12121,2022/2/24-11:15:39,流量不合格,温度压力不合格,电流电压不合格,阶段-1:0.00562阶段-2:0.0066阶段-3:0.00488阶段-4:0.00587阶段-5:0.00708阶段-6:0.00658阶段-7:0.00611阶段-8:0.00611阶段-9:0.00561阶段-10:0.00513阶段-11:0.00463阶段-12:0.00584阶段-13:0.00611阶段-14:0.00537阶段-15:0.00682阶段-16:0.00511阶段-17:0.00462阶段-18:0.00439阶段-19:0.00562阶段-20:0.00585阶段-21:0.00024阶段-22:0阶段-23:0阶段-24:0,阶段-1:0.2789阶段-2:0.30679阶段-3:0.30679阶段-4:0.30679阶段-5:0.30679阶段-6:0.30679阶段-7:0.30679阶段-8:0.30679阶段-9:0.30679阶段-10:0.30679阶段-11:0.30679阶段-12:0.30679阶段-13:0.30679阶段-14:0.30679阶段-15:0.30679阶段-16:0.30679阶段-17:0.30679阶段-18:0.30679阶段-19:0.30679阶段-20:0.30679阶段-21:0.02789阶段-22:0阶段-23:0阶段-24:0,186,200,391,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12121212,1231112,2022/2/24-11:19:32,流量不合格,温度压力不合格,电流电压不合格,阶段-1:0.00538阶段-2:0.00562阶段-3:0.00465阶段-4:0.00464阶段-5:0.00413阶段-6:0.00537阶段-7:0.00364阶段-8:0.00512阶段-9:0.0056阶段-10:0.00487阶段-11:0.00538阶段-12:0.00464阶段-13:0.0066阶段-14:0.00562阶段-15:0.00561阶段-16:0.00684阶段-17:0.00512阶段-18:0.00634阶段-19:0.00659阶段-20:0.00635阶段-21:0.00049阶段-22:0阶段-23:0阶段-24:0,阶段-1:0.2789阶段-2:0.30679阶段-3:0.30679阶段-4:0.30679阶段-5:0.30679阶段-6:0.30679阶段-7:0.30679阶段-8:0.30679阶段-9:0.30679阶段-10:0.30679阶段-11:0.30679阶段-12:0.30679阶段-13:0.30679阶段-14:0.30679阶段-15:0.30679阶段-16:0.30679阶段-17:0.30679阶段-18:0.30679阶段-19:0.30679阶段-20:0.30679阶段-21:0.02789阶段-22:0阶段-23:0阶段-24:0,190,200,389,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12121212,1231112,2022/2/24-11:38:32,流量不合格,温度压力不合格,电流电压不合格,阶段-1:0.01027阶段-2:0.01025阶段-3:0.00977阶段-4:0.00902阶段-5:0.00826阶段-6:0.01024阶段-7:0.00803阶段-8:0.01074阶段-9:0.00926阶段-10:0.00901阶段-11:0.01028阶段-12:0.00903阶段-13:0.01076阶段-14:0.01002阶段-15:0.01245阶段-16:0.01392阶段-17:0.00951阶段-18:0.01074阶段-19:0.01074阶段-20:0.01344阶段-21:0.00683阶段-22:0.0061阶段-23:0.00513阶段-24:0.00049,阶段-1:0.5578阶段-2:0.61358阶段-3:0.61358阶段-4:0.61358阶段-5:0.61358阶段-6:0.61358阶段-7:0.61358阶段-8:0.61358阶段-9:0.61358阶段-10:0.61358阶段-11:0.61358阶段-12:0.61358阶段-13:0.61358阶段-14:0.61358阶段-15:0.61358阶段-16:0.61358阶段-17:0.61358阶段-18:0.61358阶段-19:0.61358阶段-20:0.61358阶段-21:0.33468阶段-22:0.30679阶段-23:0.30679阶段-24:0.02789,204,230,392,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12121212,1212,2022/2/24-11:42:45,流量不合格,温度压力不合格,电流电压不合格,阶段-1:0.00512阶段-2:0.00536阶段-3:0.00464阶段-4:0.00657阶段-5:0.00388阶段-6:0.00342阶段-7:0.0039阶段-8:0.00487阶段-9:0.00512阶段-10:0.00512阶段-11:0.0061阶段-12:0.00658阶段-13:0.00487阶段-14:0.00514阶段-15:0.00561阶段-16:0.00511阶段-17:0.00462阶段-18:0.00438阶段-19:0.00439阶段-20:0.00634阶段-21:0.00586阶段-22:0.00487阶段-23:0.0066阶段-24:0.00024,阶段-1:0.2789阶段-2:0.30679阶段-3:0.30679阶段-4:0.30679阶段-5:0.30679阶段-6:0.30679阶段-7:0.30679阶段-8:0.30679阶段-9:0.30679阶段-10:0.30679阶段-11:0.30679阶段-12:0.30679阶段-13:0.30679阶段-14:0.30679阶段-15:0.30679阶段-16:0.30679阶段-17:0.30679阶段-18:0.30679阶段-19:0.30679阶段-20:0.30679阶段-21:0.30679阶段-22:0.30679阶段-23:0.30679阶段-24:0.02789,216,230,386,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12121212,12,2022/2/24-11:46:35,流量不合格,温度压力不合格,电流电压不合格,阶段-1:0.00537阶段-2:0.00512阶段-3:0.00536阶段-4:0.00512阶段-5:0.00634阶段-6:0.00538阶段-7:0.00488阶段-8:0.00658阶段-9:0.00562阶段-10:0.00513阶段-11:0.00462阶段-12:0.00366阶段-13:0.00612阶段-14:0.00512阶段-15:0.00487阶段-16:0.00536阶段-17:0.00487阶段-18:0.00536阶段-19:0.0061阶段-20:0.00562阶段-21:0.00536阶段-22:0.00462阶段-23:0.00685阶段-24:0.00708,阶段-1:0.2789阶段-2:0.30679阶段-3:0.30679阶段-4:0.30679阶段-5:0.30679阶段-6:0.30679阶段-7:0.30679阶段-8:0.30679阶段-9:0.30679阶段-10:0.30679阶段-11:0.30679阶段-12:0.30679阶段-13:0.30679阶段-14:0.30679阶段-15:0.30679阶段-16:0.30679阶段-17:0.30679阶段-18:0.30679阶段-19:0.30679阶段-20:0.30679阶段-21:0.30679阶段-22:0.30679阶段-23:0.30679阶段-24:0.30679,229,240,385,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12121212,122,2022/2/24-11:49:58,流量不合格,温度压力不合格,电流电压不合格,阶段-1:0.00391阶段-2:0.00511阶段-3:0.00536阶段-4:0.00512阶段-5:0.00561阶段-6:0.00438阶段-7:0.0039阶段-8:0.00511阶段-9:0.0066阶段-10:0.00464阶段-11:0.00537阶段-12:0.00464阶段-13:0.00487阶段-14:0.00365阶段-15:0.0061阶段-16:0.00562阶段-17:0.00512阶段-18:0.00634阶段-19:0.00586阶段-20:0.00562阶段-21:0.00562阶段-22:0.00365阶段-23:0.00463阶段-24:0.00462,阶段-1:0.2789阶段-2:0.30679阶段-3:0.30679阶段-4:0.30679阶段-5:0.30679阶段-6:0.30679阶段-7:0.30679阶段-8:0.30679阶段-9:0.30679阶段-10:0.30551阶段-11:0.34727阶段-12:0.30695阶段-13:0.3159阶段-14:0.30964阶段-15:0.30888阶段-16:0.30888阶段-17:0.30888阶段-18:0.30888阶段-19:0.30888阶段-20:0.30888阶段-21:0.30888阶段-22:0.30888阶段-23:0.30888阶段-24:0.30888,214,240,382,0.249958333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12121212,12121,2022/2/24-13:37:43,流量不合格,温度压力不合格,电流电压不合格,阶段-1:0.00511阶段-2:0.00585阶段-3:0.00462阶段-4:0.00465阶段-5:0.00805阶段-6:0.00537阶段-7:0.00488阶段-8:0.0061阶段-9:0.00561阶段-10:0.00438阶段-11:0.00513阶段-12:0.00489阶段-13:0.00659阶段-14:0.00586阶段-15:0.00707阶段-16:0.00537阶段-17:0.00634阶段-18:0.00463阶段-19:0.00562阶段-20:0.00462阶段-21:0.00511阶段-22:0.00659阶段-23:0.00586阶段-24:0.00561,阶段-1:0.2808阶段-2:0.30888阶段-3:0.30888阶段-4:0.30888阶段-5:0.30888阶段-6:0.30888阶段-7:0.30888阶段-8:0.30888阶段-9:0.30888阶段-10:0.30888阶段-11:0.30888阶段-12:0.30888阶段-13:0.30888阶段-14:0.30888阶段-15:0.30888阶段-16:0.30888阶段-17:0.30888阶段-18:0.30888阶段-19:0.30888阶段-20:0.30888阶段-21:0.30888阶段-22:0.30888阶段-23:0.30888阶段-24:0.30888,223,240,375,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12121212,12121,2022/2/24-13:38:49,流量不合格,温度压力不合格,电流电压不合格,阶段-1:0.00999阶段-2:0.01195阶段-3:0.01146阶段-4:0.00977阶段-5:0.01316阶段-6:0.01025阶段-7:0.01074阶段-8:0.01阶段-9:0.01269阶段-10:0.00949阶段-11:0.01049阶段-12:0.00927阶段-13:0.0117阶段-14:0.0105阶段-15:0.01169阶段-16:0.01阶段-17:0.01122阶段-18:0.01049阶段-19:0.01098阶段-20:0.01072阶段-21:0.01121阶段-22:0.01344阶段-23:0.01124阶段-24:0.01245,阶段-1:0.5616阶段-2:0.61776阶段-3:0.61776阶段-4:0.61776阶段-5:0.61776阶段-6:0.61776阶段-7:0.61776阶段-8:0.61776阶段-9:0.61776阶段-10:0.61776阶段-11:0.61776阶段-12:0.61776阶段-13:0.61776阶段-14:0.61776阶段-15:0.61776阶段-16:0.61776阶段-17:0.61776阶段-18:0.61776阶段-19:0.61776阶段-20:0.61776阶段-21:0.61776阶段-22:0.61776阶段-23:0.61776阶段-24:0.61776,223,240,376,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21212122,1212,2022/2/24-13:57:34,流量不合格,温度压力不合格,电流电压不合格,阶段-1:0.00488阶段-2:0.00586阶段-3:0.00487阶段-4:0.00489阶段-5:0.00683阶段-6:0.00586阶段-7:0.00586阶段-8:0.00488阶段-9:0.00512阶段-10:0.00463阶段-11:0.00561阶段-12:0.00537阶段-13:0.00536阶段-14:0.00415阶段-15:0.00414阶段-16:0.00537阶段-17:0.00561阶段-18:0.00536阶段-19:0.0056阶段-20:0.00684阶段-21:0.00462阶段-22:0.00608阶段-23:0.00464阶段-24:0.0061,阶段-1:0.2808阶段-2:0.30888阶段-3:0.30888阶段-4:0.30888阶段-5:0.30888阶段-6:0.30888阶段-7:0.30888阶段-8:0.30888阶段-9:0.30888阶段-10:0.30888阶段-11:0.30888阶段-12:0.30888阶段-13:0.30888阶段-14:0.30888阶段-15:0.30888阶段-16:0.30888阶段-17:0.30888阶段-18:0.30888阶段-19:0.30888阶段-20:0.30888阶段-21:0.30888阶段-22:0.30888阶段-23:0.30888阶段-24:0.30888,240,240,374,0.249958333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21212122,2121212,2022/2/24-14:04:50,流量不合格,温度压力不合格,电流电压合格,阶段-1:0.00414阶段-2:0.00439阶段-3:0.00611阶段-4:0.00439阶段-5:0.00488阶段-6:0.00512阶段-7:0.0066阶段-8:0.00585阶段-9:0.00634阶段-10:0.00659阶段-11:0.00561阶段-12:0.00709阶段-13:0.00562阶段-14:0.0044阶段-15:0.00462阶段-16:0.00464阶段-17:0.00562阶段-18:0.00511阶段-19:0.00659阶段-20:0.00512阶段-21:0.00538阶段-22:0.00488阶段-23:0.00586阶段-24:0.00415,阶段-1:0.2808阶段-2:0.30888阶段-3:0.30888阶段-4:0.30888阶段-5:0.30888阶段-6:0.30888阶段-7:0.30888阶段-8:0.30888阶段-9:0.30888阶段-10:0.30888阶段-11:0.30888阶段-12:0.30888阶段-13:0.30888阶段-14:0.30888阶段-15:0.30888阶段-16:0.30888阶段-17:0.30888阶段-18:0.30888阶段-19:0.30888阶段-20:0.30888阶段-21:0.30888阶段-22:0.30888阶段-23:0.30888阶段-24:0.30888,240,0,374,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
